title_fa,title_en,open_jobs,category,company_size,company_site,year
ورزش سه  , Varzesh 3,۴,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,None,None
امیربابا , Amirbaba,۷,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
بیلبورد , Billboard,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.billboardforyou.com,None
جهان گستر پارس رادن , Jahan Gostar Pars Raden,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.jahangostarpars.com,None
سایرو سافت , Sairosoft,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.sairosoft.com,None
هولدینگ پارس پندار نهاد , Pars Pendar Nahad,۳,آموزش، مدارس و دانشگاه‌ها,۵۱ تا ۲۰۰ نفر,parspn.com,None
رسپیناتک , Respinatech,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,Respinatech.com/,None
ابزارمارت , Abzarmart,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,abzarmart.com,None
ایرسا / خدمات گردشگری الکترونیک  , IRSA,۱۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,iati.ir,None
سپید سیستم , Sepid System,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,sepidsystem.com,None
آریس گشت  , aris,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
بیمیتو , Bimito,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,bimito.com,None
خبره پرداز پارس , Khebre Pardaaz Pars,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,kpp.ir,None
پردازش اطلاعات ریسمان , Rismun,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,rismun.com,None
آزمایش آنلاین , Azmayesh Online,۲,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,azmayeshonline.com,None
حمیم , Hamim,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.hamimco.ir,None
پارس تصمیم , Pars Tasmim,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,www.parstasmim.com,None
