title_fa,title_en,open_jobs,category,company_size,company_site,year
دى آزمون , Dayazmoon,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,dayazmoon.info,None
تدبیرسازان آینده , Tadbir Sazan,۰,املاک و مستغلات,۱۱ تا ۵۰ نفر,www.tadbirsazan.com,None
اقلیم , Eghlim,۰,معماری و عمران,۱۱ تا ۵۰ نفر,None,None
گروه تکنو مهندسین رسا , Engineers Group Teckno Rasa,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
فناوری همراه پیدا , Fanavari Hamrah Payda,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,payda.ir,None
رستوران ساحلی حاج کمیل , Haj Komeil Restaurant,۰,غذا و رستوران‌ها,۲ - ۱۰ نفر,None,None
هدرا , Hedra,۰,واردات و صادرات,۲ - ۱۰ نفر,Thehedra.com,None
پخش متحد , Motahed,۰,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۱۱ تا ۵۰ نفر,None,None
راه سورنا , Rah Soorena,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
خونه ساز , Khunesaz,۰,معماری و عمران,۲ - ۱۰ نفر,www.khunesaz.com,None
آتیه , Atiye,۰,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,None,None
سنمار , Senemar,۰,تولید و صنایع,۱۱ تا ۵۰ نفر,www.senemar.co,None
فناوری اطلاعات پیشگام بینش , PBIT,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,pbit-co.com,None
راهبران توسعه بازار روشا , Rosha Market Development Leaders,۰,سرمایه‌گذاری و تحلیل کسب‌وکار,۲ - ۱۰ نفر,www.barousha.com,None
روبرو , Roberoo,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,yadmigirim.com,None
ایمن زلزله سدید , SADID Imen Zelzeleh,۰,تولید و صنایع,۱۱ تا ۵۰ نفر,www.AQC.ir,None
آی آر میکس , Irmix,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,irmix.ir,None
دانش آفرینان ابن سینا , Avesina,۰,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,None,None
گروه مایان , MAYAN Group,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,mayannet.com,None
ابرا داده , Abra Data,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
آتی فارمد , Ati Pharmed,۰,خدمات درمانی، پزشکی و سلامت,۵۱ تا ۲۰۰ نفر,Atipharmed.co.ir,None
نوین تجارت , NTS Co.,۰,واردات و صادرات,۲ - ۱۰ نفر,None,None
پيشگامان توسعه خدمات راد , Tamirak,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,Tamirak.com,None
میعادصنعت , Miaad,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
بیمه تجارت نو , Tejarateno,۰,بیمه,۲ - ۱۰ نفر,tejaratins1011.ir,None
دکوراسیون ایرانه , Irane,۰,تولید و صنایع,۵۱ تا ۲۰۰ نفر,None,None
یکتاپردازان ویرا , Yekta Pardazan Vira,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
شرکت دانش بنیان پویا فرآوران کامیاب , Pouya Faravaran Kamyab Co.,۰,تولید و صنایع,۲ - ۱۰ نفر,www.pfkco.ir,None
گروه طراحان  , Tarahangroup,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.tarahan.com,None
فاوا تجارت الکترونیک بنا , Fava Tejarat Electronic Bana,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.banaitec.ir,None
کافه ژولپ , Joulep Cafe,۰,غذا و رستوران‌ها,۲ - ۱۰ نفر,None,None
